,poste,Location,date publication,delai,genre,lien_publication,Entreprise
0,Analyst Pricing Pièces H/F , CASABLANCA (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-analyst-pricing-pieces-hf-recrutement-confidentiel-casablanca-151303.html, confidentiel casablanca 
1,Développeur Frontend Reactjs H/F , Paris (France)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-developpeur-frontend-reactjs-hf-recrutement-nuvelia-paris-151302.html, nuvelia paris 
2,Responsable Flux Amont , CASABLANCA (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-responsable-flux-amont-recrutement-crouzet-casablanca-151301.html, crouzet casablanca 
3,Directeur Commercial - Agroalimentaire , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-directeur-commercial---agroalimentaire-recrutement-manpower-agences-casablanca-151300.html, manpower agences casablanca 
4,Directeur Commercial - Agroalimentaire , Casablanca (Maroc)                                ,2023-06-06,2023-06-09,CDI,https://www.rekrute.com/offre-emploi-directeur-commercial---agroalimentaire-recrutement-manpower-agences-casablanca-151299.html, manpower agences casablanca 
5,Technicien Service Desk (H/F) , Sala Al Jadida (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-technicien-service-desk-hf-recrutement-econocom-maroc-sala-al-jadida-151298.html, econocom maroc sala al jadida 
6,Project Director , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-project-director-recrutement-nbs-consulting-casablanca-151297.html, nbs consulting casablanca 
7,Animateur Commercial Régional du Financement Automobile (H/F) , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-animateur-commercial-regional-du-financement-automobile-hf-recrutement-cac-centrale-automobile-cherifienne-casablanca-151265.html, cac centrale automobile cherifienne casablanca 
8,CRM Business Analyst , Casablanca (Maroc)                                ,2023-06-06,2023-06-08,CDI,https://www.rekrute.com/offre-emploi-crm-business-analyst-recrutement-nbs-consulting-casablanca-151296.html, nbs consulting casablanca 
9,WFM MANAGER , CASABLANCA (Maroc)                                ,2023-06-06,2023-07-06,CDI,https://www.rekrute.com/offre-emploi-wfm-manager-recrutement-tersea-casablanca-149087.html, tersea casablanca 
