poste,Location,date publication,delai,genre,lien_publication,Entreprise
"
                                    data scientist", (H/F) | Rabat/Fes (Maroc)                                ,13/04/2023,13/06/2023,CDI,https://www.rekrute.com/offre-emploi-data-scientist-hf-recrutement-cnexia-rabatfes-149333.html,
"
                                    data scientist", | Casablanca (Maroc)                                ,06/04/2023,06/06/2023,CDI,https://www.rekrute.com/offre-emploi-data-scientist-recrutement-sofrecom-services-maroc-casablanca-149017.html,
"
                                    Senior data scientist", (H/F) | Casablanca (Maroc)                                ,04/04/2023,20/05/2023,CDI,https://www.rekrute.com/offre-emploi-senior-data-scientist-hf-recrutement-attijariwafa-bank-casablanca-148303.html,
"
                                    data scientist", Engineer - Crop Yield Prediction | Ben Guerir (Maroc)                                ,04/04/2023,04/06/2023,CDI,https://www.rekrute.com/offre-emploi-data-scientist-engineer---crop-yield-prediction-recrutement-universite-mohammed-vi-polytechnique-ben-guerir-148917.html,
"
                                    Agri-data scientist", Manager | Ben Guerir (Maroc)                                ,31/03/2023,31/05/2023,CDI,https://www.rekrute.com/offre-emploi-agri-datascientist-manager-recrutement-universite-mohammed-vi-polytechnique-ben-guerir-148814.html,
"
                                    data scientist", | Ben Guerir (Maroc)                                ,29/03/2023,29/05/2023,CDI,https://www.rekrute.com/offre-emploi-data-scientist-recrutement-universite-mohammed-vi-polytechnique-ben-guerir-148692.html,
"
                                    data scientist", | Rabat (Maroc)                                ,23/03/2023,23/05/2023,CDI,https://www.rekrute.com/offre-emploi-data-scientist-recrutement-sofrecom-services-maroc-rabat-148428.html,
"
                                    data scientist", Python | Rabat (Maroc)                                ,23/03/2023,23/05/2023,CDI,https://www.rekrute.com/offre-emploi-data-scientist-python-recrutement-alten-maroc-rabat-148410.html,
"
                                    Technical Lead data scientist", (H/F) | Casablanca (Maroc)                                ,20/03/2023,20/05/2023,CDI,https://www.rekrute.com/offre-emploi-technical-lead-data-scientist-hf-recrutement-confidentiel-casablanca-148278.html,
"
                                    data scientist", (H/F) | Casablanca (Maroc)                                ,20/03/2023,20/05/2023,CDI,https://www.rekrute.com/offre-emploi-data-scientist-hf-recrutement-oceane-consulting-casablanca-148277.html,
"
                                    Senior data scientist", | Rabat (Maroc)                                ,19/03/2023,22/04/2023,CDI,https://www.rekrute.com/offre-emploi-senior-data-scientist-recrutement-alten-maroc-rabat-147364.html,
"
                                    data scientist", (H/F) | Casablanca (Maroc)                                ,07/03/2023,07/05/2023,CDI,https://www.rekrute.com/offre-emploi-data-scientist-hf-recrutement-societe-generale-maroc-casablanca-147876.html,
"
                                    data scientist", - School of Computer Science | Benguerir (Maroc)                                ,15/02/2023,15/04/2023,CDD,https://www.rekrute.com/offre-emploi-data-scientist---school-of-computer-science-recrutement-universite-mohammed-vi-polytechnique-benguerir-147074.html,
"
                                    Ingénieur data scientist", | Benguerir (Maroc)                                ,15/02/2023,15/04/2023,CDD,https://www.rekrute.com/offre-emploi-ingenieur-data-scientist-recrutement-universite-mohammed-vi-polytechnique-benguerir-147076.html,
