,poste,Location,date publication,delai,genre,lien_publication,Entreprise
0,Contrôleur de Gestion , Casablanca (Maroc)                                ,2023-04-15,2023-06-15,CDI,https://www.rekrute.com/offre-emploi-controleur-de-gestion-recrutement-confidentiel-casablanca-149403.html, confidentiel casablanca 
1,Conseiller Commercial - Métiers de l'assurance , Casablanca (Maroc)                                ,2023-04-15,2023-06-15,CDI,https://www.rekrute.com/offre-emploi-conseiller-commercial---metiers-de-lassurance-recrutement-unifitel-casablanca-149402.html, unifitel casablanca 
2,Unifitel : Métier Recouvrement amiable , Casablanca (Maroc)                                ,2023-04-15,2023-06-15,CDI,https://www.rekrute.com/offre-emploi-unifitel-metier-recouvrement-amiable-recrutement-unifitel-casablanca-149401.html, unifitel casablanca 
3,Conseillers Commerciaux en Crédit , Casablanca (Maroc)                                ,2023-04-15,2023-06-15,CDI,https://www.rekrute.com/offre-emploi-conseillers-commerciaux-en-credit-recrutement-unifitel-casablanca-149400.html, unifitel casablanca 
4,Conseillers Expérimentés : Métiers de Conseil et Relation Client avec Rebond , Casablanca (Maroc)                                ,2023-04-15,2023-06-15,CDI,https://www.rekrute.com/offre-emploi-conseillers-experimentes-metiers-de-conseil-et-relation-client-avec-rebond-recrutement-unifitel-casablanca-149399.html, unifitel casablanca 
5,Formateur , Casablanca (Maroc)                                ,2023-04-15,2023-06-15,CDI,https://www.rekrute.com/offre-emploi-formateur-recrutement-unifitel-casablanca-149398.html, unifitel casablanca 
6,Manager/Superviseur d'équipe , Casablanca (Maroc)                                ,2023-04-15,2023-06-15,CDI,https://www.rekrute.com/offre-emploi-managersuperviseur-dequipe-recrutement-unifitel-casablanca-149397.html, unifitel casablanca 
7,Operations Controller , Casablanca (Maroc)                                ,2023-04-15,2023-06-15,CDI,https://www.rekrute.com/offre-emploi-operations-controller-recrutement-air-arabia-casablanca-149396.html, air arabia casablanca 
8,Call Center Agent Inbound (ANAPEC) , Casablanca (Maroc)                                ,2023-04-15,2023-06-15,Autre,https://www.rekrute.com/offre-emploi-call-center-agent-inbound-anapec-recrutement-air-arabia-casablanca-149395.html, air arabia casablanca 
9,Technical Buyer , Casablanca (Maroc)                                ,2023-04-15,2023-06-15,CDI,https://www.rekrute.com/offre-emploi-technical-buyer-recrutement-air-arabia-casablanca-149394.html, air arabia casablanca 
10,Accountant - General Accounts , Casablanca (Maroc)                                ,2023-04-15,2023-09-05,CDI,https://www.rekrute.com/offre-emploi-accountant---general-accounts-recrutement-air-arabia-casablanca-147972.html, air arabia casablanca 
11,HR Business Partner , Casablanca (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-hr-business-partner-recrutement-capgemini-engineering-casablanca-149390.html, capgemini engineering casablanca 
12,Chef de Projet , casablanca (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-chef-de-projet-recrutement-attijariwafa-bank-casablanca-149393.html, attijariwafa bank casablanca 
13,HR Business Partner , casablanca (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-hr-business-partner-recrutement-attijariwafa-bank-casablanca-149392.html, attijariwafa bank casablanca 
14,Responsable Juridique , Salé (Technopolis) (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-responsable-juridique-recrutement-dxc-technology-maroc-sale-technopolis-149391.html, dxc technology maroc sale technopolis 
15,Business Analyst Salesforce , Rabat (Maroc)                                ,2023-04-14,2023-02-05,CDI,https://www.rekrute.com/offre-emploi-business-analyst-salesforce-recrutement-orange-business-rabat-147701.html, orange business rabat 
16,Développeur Fullstack Java JEE Senior , Rabat (Maroc)                                ,2023-04-14,2023-04-27,CDI,https://www.rekrute.com/offre-emploi-developpeur-fullstack-java-jee-senior-recrutement-orange-business-rabat-147521.html, orange business rabat 
17,Développeur Full Stack Java/Angular Confirmé , Rabat (Maroc)                                ,2023-04-14,2023-05-28,CDI,https://www.rekrute.com/offre-emploi-developpeur-full-stack-javaangular-confirme-recrutement-orange-business-rabat-148564.html, orange business rabat 
18,Ingénieur Front end Angular , Rabat (Maroc)                                ,2023-04-14,2023-04-22,CDI,https://www.rekrute.com/offre-emploi-ingenieur-front-end-angular-recrutement-orange-business-rabat-147386.html, orange business rabat 
19,Développeur Back End Java , Rabat (Maroc)                                ,2023-04-14,2023-04-28,CDI,https://www.rekrute.com/offre-emploi-developpeur-back-end-java-recrutement-orange-business-rabat-147612.html, orange business rabat 
20,Testeur Automaticien , Rabat (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-testeur-automaticien-recrutement-orange-business-rabat-149389.html, orange business rabat 
21,Commercial Terrain  H/F , Tanger (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-commercial-terrain-hf-recrutement-manpower-agences-tanger-149388.html, manpower agences tanger 
22,Senior Sales Manager (H/F) , NADOR (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-senior-sales-manager-hf-recrutement-manpower-agences-nador-149385.html, manpower agences nador 
23,Technicien Support IT (H/F) , Tanger (Maroc)                                ,2023-04-14,2023-06-14,Autre,https://www.rekrute.com/offre-emploi-technicien-support-it-hf-recrutement-manpower-agences-tanger-149387.html, manpower agences tanger 
24,Senior Sales - Secteur Maritime , TANGER (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-senior-sales---secteur-maritime-recrutement-manpower-agences-tanger-149384.html, manpower agences tanger 
25,Agent de Cadrage , Casablanca (Maroc)                                ,2023-04-14,2023-06-14,Autre,https://www.rekrute.com/offre-emploi-agent-de-cadrage-recrutement-manpower-agences-casablanca-149383.html, manpower agences casablanca 
26,Executive Education Portfolio Manager , Benguerir (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-executive-education-portfolio-manager-recrutement-universite-mohammed-vi-polytechnique-benguerir-149382.html, universite mohammed vi polytechnique benguerir 
27,SENIOR DESIGN ENGINEER - PHOVA Tech , Benguerir (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-senior-design-engineer---phova-tech-recrutement-universite-mohammed-vi-polytechnique-benguerir-149381.html, universite mohammed vi polytechnique benguerir 
28,Technicien en Mécanique Véhicules Lourds – 5 ans d’expérience minimum , Québec (Maroc)                                ,2023-04-14,2023-05-23,CDD,https://www.rekrute.com/offre-emploi-technicien-en-mecanique-vehicules-lourds-5-ans-dexperience-minimum-recrutement-canadim-quebec-148450.html, canadim quebec 
29,Consultant Expérimenté Audit et Reporting ESG F/H , Casablanca (Maroc)                                ,2023-04-14,2023-10-05,CDI,https://www.rekrute.com/offre-emploi-consultant-experimente-audit-et-reporting-esg-fh-recrutement-deloitte-extended-services-casablanca-147475.html, deloitte extended services casablanca 
30,Chargé d'Affaires et CRM , Casablanca (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-charge-daffaires-et-crm-recrutement-coface-casablanca-149380.html, coface casablanca 
31,Consultant Expérimenté Financial Services FSI & Fintech - Banque Assurance F/H : , Casablanca (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-consultant-experimente-financial-services-fsi-fintech---banque-assurance-fh-recrutement-deloitte-extended-services-casablanca-149379.html, deloitte extended services casablanca 
32,Chargés de clientèle Bilingue (Francais/Anglais) , Casablanca (Maroc)                                ,2023-04-14,2023-06-14,CDI,https://www.rekrute.com/offre-emploi-charges-de-clientele-bilingue-francaisanglais-recrutement-atlas-on-line-casablanca-149378.html, atlas on line casablanca 
