,poste,Location,date publication,delai,genre,lien_publication,Entreprise
0,Category Manager Non Alimentaire (H/F) , Casablanca (Maroc)                                ,2023-06-08,2023-08-08,CDI,https://www.rekrute.com/offre-emploi-category-manager-non-alimentaire-hf-recrutement-groupe-labelvie---carrefour-casablanca-151359.html, groupe labelvie   carrefour casablanca 
1,Consultant Fonctionnel ERP Senior , Rabat (Maroc)                                ,2023-06-08,2023-08-08,CDI,https://www.rekrute.com/offre-emploi-consultant-fonctionnel-erp-senior-recrutement-atos-rabat-151374.html, atos rabat 
2,Engineering Team Manager (H/F) , Casablanca (Maroc)                                ,2023-06-08,2023-08-08,CDI,https://www.rekrute.com/offre-emploi-engineering-team-manager-hf-recrutement-capgemini-engineering-casablanca-151355.html, capgemini engineering casablanca 
3,Chef de produit ( Product Manager) , Casablanca (Maroc)                                ,2023-06-08,2023-08-08,CDI,https://www.rekrute.com/offre-emploi-chef-de-produit-product-manager-recrutement-tersea-casablanca-151375.html, tersea casablanca 
4,Comptable Financier (Intérim) , Casablanca (Maroc)                                ,2023-06-08,2023-08-08,CDD,https://www.rekrute.com/offre-emploi-comptable-financier-interim-recrutement-manpower-agences-casablanca-151371.html, manpower agences casablanca 
5,Manager de Rayon Biscuiterie/ Epicerie  - Expérience Exigée en Distribution , Salé (Maroc)                                ,2023-06-08,2023-08-08,CDI,https://www.rekrute.com/offre-emploi-manager-de-rayon-biscuiterie-epicerie---experience-exigee-en-distribution-recrutement-groupe-labelvie---carrefour-sale-151373.html, groupe labelvie   carrefour sale 
6,WFM MANAGER , CASABLANCA (Maroc)                                ,2023-06-08,2023-08-08,CDI,https://www.rekrute.com/offre-emploi-wfm-manager-recrutement-tersea-casablanca-151372.html, tersea casablanca 
7,RESPONSABLE COMPTABILITE , Casablanca (Maroc)                                ,2023-06-08,2023-08-08,CDI,https://www.rekrute.com/offre-emploi-responsable-comptabilite-recrutement-intelcia-casablanca-151369.html, intelcia casablanca 
8,Chargé(e) de Marketing/ relation partenariat , Casablanca (Maroc)                                ,2023-06-08,2023-08-08,CDI,https://www.rekrute.com/offre-emploi-chargee-de-marketing-relation-partenariat-recrutement-intelcia-casablanca-151370.html, intelcia casablanca 
9,Responsable Formateur Village - Village Training Manager , Tout le Maroc (Maroc)                                ,2023-06-08,2023-08-08,CDI,https://www.rekrute.com/offre-emploi-responsable-formateur-village---village-training-manager-recrutement-club-med-tout-le-maroc-151330.html, club med tout le maroc 
10,Animateur Mini Club (H/F) , Tout le Maroc (Maroc)                                ,2023-06-08,2023-08-08,CDD,https://www.rekrute.com/offre-emploi-animateur-mini-club-hf-recrutement-club-med-tout-le-maroc-151329.html, club med tout le maroc 
11,Consultant EAI , Rabat (Maroc)                                ,2023-06-08,2023-07-26,CDI,https://www.rekrute.com/offre-emploi-consultant-eai-recrutement-orange-business-rabat-150954.html, orange business rabat 
